Colonne 1,Marque,Modèle,Version/Moteur,Année,Catégories,SubCatégories,Type de Pièce,Référence OE,Réferences Fournisseur,Fournisseur,Prix,Commentaires
1,Renault,Clio IV,1.5 DCI 66KW K9K,2013-2019,Vidange,Filtres à Huile,Filtre à Huile,8200768913,LS571,PURFLUX,"8,12€",
1,Renault,Clio IV,1.5 DCI 66KW K9K,2013-2019,Vidange,Filtres à Air,Filtre à Air,165461599R,A1185,PURFLUX,"11,74€",
1,Renault,Clio IV,1.5 DCI 66KW K9K,2013-2019,Vidange,Filtres à Carburant,Filtre à Carburant,164031581R,C826,PURFLUX,"11,54€",Filtre Papier
1,Renault,Clio IV,1.5 DCI 66KW K9K,2013-2019,Vidange,Filtre Habitacle,Filtre Habitacle,272770567R,AH405,PURFLUX,"12,54€",
1,Renault,Clio IV,1.5 DCI 66KW K9K,2013-2019,Freinage,Plaquette AV,Plaquette AV ,410604775R,0 986 424 795,BOSCH,"23,26€",
1,Renault,Clio IV,1.5 DCI 66KW K9K,2013-2019,Freinage,Disque AV,Disque AV,402066839R,0 986 479 A86,BOSCH,"34,11€/Pièces",
1,Renault,Clio IV,1.5 DCI 66KW K9K,2013-2019,Freinage,Plaquette AR,Plaquette AR ,440600295R,0 986 494 387,BOSCH,"22,28€",
1,Renault,Clio IV,1.5 DCI 66KW K9K,2013-2019,Freinage,Disque AR,Disque AR ,432002188R,0 986 479 761,BOSCH,"92,64€/Pièces",Avec Roulement
1,Renault,Clio IV,1.5 DCI 66KW K9K,2013-2019,Freinage,Étrier,Étrier de Frein AVG,7701208332,BHW415,TRW,"118,85€",
1,Renault,Clio IV,1.5 DCI 66KW K9K,2013-2019,Freinage,Étrier,Étrier de Frein AVD,7701208333, BHW416,TRW,"66,60€",
1,Renault,Clio IV,1.5 DCI 66KW K9K,2013-2019,Freinage,Étrier,Étrier de Frein ARRG,440119651R,BHQ287,TRW,"96,87€",
1,Renault,Clio IV,1.5 DCI 66KW K9K,2013-2020,Freinage,Maitre-cylindre,,,,,,
1,Renault,Clio IV,1.5 DCI 66KW K9K,2013-2021,Freinage,Servo-frein,,,,,,
1,Renault,Clio IV,1.5 DCI 66KW K9K,2013-2022,Freinage,Capteur ABS,,,,,,
1,Renault,Clio IV,1.5 DCI 66KW K9K,2013-2019,Freinage,Étrier,Étrier de frein ARRD,440018805R,BHQ288,TRW,"98,11€",
1,Renault,Clio IV,1.5 DCI 66KW K9K,2013-2019,Freinage,Kit réparation étrier,Kit réparation étrier AV,7701208338,SJ1284,TRW,"11,60€",
1,Renault,Clio IV,1.5 DCI 66KW K9K,2013-2019,Freinage,Kit réparation étrier,Kit réparation étrier AR,7701206346,SJ1246,TRW,"7,60€",
1,Renault,Clio IV,1.5 DCI 66KW K9K,2013-2019,Freinage,Fléxible de frein ,Fléxible de frein AVG,462108124R,8150 25168,TRISCAN,"18,80€",
1,Renault,Clio IV,1.5 DCI 66KW K9K,2013-2019,Freinage,Fléxible de frein ,Fléxible de frein AVD,462108124R,8150 25168,TRISCAN,,
1,Renault,Clio IV,1.5 DCI 66KW K9K,2013-2019,Freinage,Fléxible de frein ,Fléxible de frein ARD,463167319R, 8150 25002,TRISCAN,"8,60€",
1,Renault,Clio IV,1.5 DCI 66KW K9K,2013-2019,Freinage,Fléxible de frein ,Fléxible de frein ARG,463167319R, 8150 25002,TRISCAN,"8,60€",
1,Renault,Clio IV,1.5 DCI 66KW K9K,2013-2019,Suspension,Roulement ,Roulement AV ,402104249R,R155.122,SNR,"36,60€",
1,Renault,Clio IV,1.5 DCI 66KW K9K,2013-2019,Suspension,Roulement ,Roulement AR,432102103R,R155.123,SNR,"39,51€",
1,Renault,Clio IV,1.5 DCI 66KW K9K,2013-2019,Direction,Triangle ,Triangle de suspension AVG,545052354R,JTC1793,TRW,"50,00€",
1,Renault,Clio IV,1.5 DCI 66KW K9K,2013-2019,Direction,Triangle ,Triangle de suspension AVD,545046162R,JTC1792,TRW,"59,00€",
1,Renault,Clio IV,1.5 DCI 66KW K9K,2013-2019,Direction,Rotule,Rotule de suspension AVD,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible
1,Renault,Clio IV,1.5 DCI 66KW K9K,2013-2019,Direction,Rotule,Rotule de suspension AVG,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible
1,Renault,Clio IV,1.5 DCI 66KW K9K,2013-2019,Direction,Bielette de barre stabilisatrice,Bielette de barre stabilisatrice AVG,8201079463,JTS433,TRW,"19,60€",
1,Renault,Clio IV,1.5 DCI 66KW K9K,2013-2019,Direction,Bielette de barre stabilisatrice,Bielette de barre stabilisatrice AVD,8201079463,JTS433,TRW,"19,60€",
1,Renault,Clio IV,1.5 DCI 66KW K9K,2013-2019,Direction,Rotule Axial,Rotule Axial,"485211375R
",JAR683,TRW,"20,52€",
1,Renault,Clio IV,1.5 DCI 66KW K9K,2013-2019,Direction,Rotule de direction,Rotule de direction AVG ,485200368R,JTE1021,TRW,"26,50€",
1,Renault,Clio IV,1.5 DCI 66KW K9K,2013-2019,Direction,Rotule de direction,Rotule de direction AVD ,485208355R,JTE1022,TRW,"29,40€",
1,Renault,Clio IV,1.5 DCI 66KW K9K,2013-2019,Suspension,Amortisseur ,Amortisseur AVG,543028420R,G7277,MONROE,"55,40€",
1,Renault,Clio IV,1.5 DCI 66KW K9K,2013-2019,Suspension,Amortisseur ,Amortisseur AVD ,543021815R,G7277,MONROE,"55,40€",
1,Renault,Clio IV,1.5 DCI 66KW K9K,2013-2019,Suspension,Amortisseur ,Amortisseur ARG,562105799R,NON DISPO,,,
1,Renault,Clio IV,1.5 DCI 66KW K9K,2013-2019,Suspension,Amortisseur ,Amortisseur ARD,562109164R,NON DISPO,,,
1,Renault,Clio IV,1.5 DCI 66KW K9K,2013-2019,Suspension,Ressort,Ressort AVG,540109739R,4073003,"        
LESJOFOR","36,00€",
1,Renault,Clio IV,1.5 DCI 66KW K9K,2013-2019,Suspension,Ressort,Ressort AVD,540105619R,4073003,LESJOFOR,"36,00€",
1,Renault,Clio IV,1.5 DCI 66KW K9K,2013-2019,Suspension,Ressort,Ressort ARG,550202644R,4272964,LESJOFOR,"57,60€",
1,Renault,Clio IV,1.5 DCI 66KW K9K,2013-2019,Suspension,Ressort,Ressort ARD,8200218906,4272964,LESJOFOR,"57,60€",
1,Renault,Clio IV,1.5 DCI 66KW K9K,2013-2019,Suspension,Coupelle de suspension,Coupelle AVG,543A02310R,MK418,MONROE,"30,00€",
1,Renault,Clio IV,1.5 DCI 66KW K9K,2013-2019,Suspension,Coupelle de suspension,Coupelle AVD,543A02310R,MK418,MONROE,"30,00€",
1,Renault,Clio IV,1.5 DCI 66KW K9K,2013-2019,Freinage,Câbles de Frein,Câble de frein ARG,365307515R,8140 251214,TRISCAN,"30,95€",
1,Renault,Clio IV,1.5 DCI 66KW K9K,2013-2019,Freinage,Câbles de Frein,Câble de Frein ARD ,365302756R,8140 251237,TRISCAN,"23,72",
1,Renault,Clio IV,1.5 DCI 66KW K9K,2013-2019,Pièces Moteur,Bougie,Bougie,110654876R,94103,NGK,"22,22",
1,Renault,Clio IV,1.5 DCI 66KW K9K,2013-2019,Pièces Moteur,Kit Distribution,Kit Distribution,119A02421R,KDP455.580,SNR,"85,00€",
1,Renault,Clio IV,1.5 DCI 66KW K9K,2013-2019,Pièces Moteur,Pompe à eau ,Pompe à eau ,210107852R,DP200,DAYCO ,"50,00€",
1,Renault,Clio IV,1.5 DCI 66KW K9K,2013-2019,Pièces Moteur,Thermostat ,Thermostat ,110605536R,DT1075F,DAYCO ,"24,41€",
1,Renault,Clio IV,1.5 DCI 66KW K9K,2013-2019,Pièces Moteur,Pompe à Huile ,Pompe à Huile ,7701693576,7.07919.00.0,PIERBURG,"82,40€",
1,Renault,Clio IV,1.5 DCI 66KW K9K,2013-2019,Pièces Moteur,Jauge d'huile,Jauge d'huile,111400116R,8001080,METZGER,"32,54€",
1,Renault,Clio IV,1.5 DCI 66KW K9K,2013-2019,Pièces Moteur,Pompe à Carburant,Pompe à Carburant,172025354R,348760,VALEO ,"158,54€",
1,Renault,Clio IV,1.5 DCI 66KW K9K,2013-2019,Pièces Moteur,Injecteur ,Injecteur ,166006212R,A2C59507596,VDO,"365,45€",
1,Renault,Clio IV,1.5 DCI 66KW K9K,2013-2020,Pièces Moteur,Radiateur,Radiateur,,,,,
1,Renault,Clio IV,1.5 DCI 66KW K9K,2013-2019,Pièces Moteur,Joints d'injecteur ,Joints d'injecteur ,,1 987 972 087,"        
BOSCH","6,14€",
1,Renault,Clio IV,1.5 DCI 66KW K9K,2013-2019,Pièces Moteur,Joint de culasse / cache-soupape,Joint de culasse,110444213R/7701070607,,,,
1,Renault,Clio IV,1.5 DCI 66KW K9K,2013-2019,Pièces Moteur,Vanne EGR ,Vanne EGR,147109913R,98402,NISSENS,"134,54€",
1,Renault,Clio IV,1.5 DCI 66KW K9K,2013-2019,Pièces Moteur,Débimetre,Débimetre,8200682558,AF10634-12B1,DELPHI,"102,50€",
1,Renault,Clio IV,1.5 DCI 66KW K9K,2013-2019,Pièces Moteur,TurboCompresseur,TurboCompresseur,7701473122,93073,NISSENS,"384,25€",
1,Renault,Clio IV,1.5 DCI 66KW K9K,2013-2019,Pièces Moteur,Échappement,Filtre à Particules,NON DISPO,NON DISPO,NON DISPO,NON DISPO,NON DISPO
1,Renault,Clio IV,1.5 DCI 66KW K9K,2013-2019,Pièces Moteur,Échappement,Tube Intermédiaire,200102311R,10934,WALKER,"112,14€",
1,Renault,Clio IV,1.5 DCI 66KW K9K,2013-2019,Pièces Moteur,Échappement,Silencieux Arrière,200100572R,RS-579,VEGAZ,"114,54€",
1,Renault,Clio IV,1.5 DCI 66KW K9K,2013-2019,Boite de Vitesse,Cardan,Cardan AVG ,391014886R,7819,CEVAM,"146,53€",
1,Renault,Clio IV,1.5 DCI 66KW K9K,2013-2019,Boite de Vitesse,Cardan,Cardan AVD,391000262R,7716,CEVAM ,"176,98€",
1,Renault,Clio IV,1.5 DCI 66KW K9K,2013-2019,Boite de Vitesse,Soufflet de Cardan ,Soufflet de Cardan coté roue,392413466R,176028,FEBI,"31,24€",
1,Renault,Clio IV,1.5 DCI 66KW K9K,2013-2019,Boite de Vitesse,Palier de Cardan,Soufflet de Cardan coté boite,397416095R,175240,FEBI,"24,68€",
1,Renault,Clio IV,1.5 DCI 66KW K9K,2013-2019,Boite de Vitesse,Embrayage ,Embrayage simple ,302058324R,622 3096 35,LUK,"123,41€",
1,Renault,Clio IV,1.5 DCI 66KW K9K,2013-2019,Boite de Vitesse,Embrayage ,Double embrayage,302052671R,602 0016 00,LUK,"2 249,41€",
1,Renault,Clio IV,1.5 DCI 66KW K9K,2013-2019,Boite de Vitesse,Emetteur ,Vanne EGR,306105773R,LM80707,DELPHI,"46,87€",
1,Renault,Clio IV,1.5 DCI 66KW K9K,2013-2019,Boite de Vitesse,Recepteur ,NON DISPONIBLE,NON DISPONIBLE,NON DISPONIBLE,NON DISPONIBLE,NON DISPONIBLE,NON DISPONIBLE
1,Renault,Clio IV,1.5 DCI 66KW K9K,2013-2019,Boite de Vitesse,Câble de boite / Embrayage,341080304R,,555905,SEIM,"81,21€",Double Embrayage / 6 vitesses
1,Renault,Clio IV,1.5 DCI 66KW K9K,2013-2019,Électronique,Démarreur ,,,,,,
1,Renault,Clio IV,1.5 DCI 66KW K9K,2013-2019,Électronique,Alternateur,,,,,,
1,Renault,Clio IV,1.5 DCI 66KW K9K,2013-2019,Électronique,Batterie,,,,,,
1,Renault,Clio IV,1.5 DCI 66KW K9K,2013-2019,Capteur,Capteur et Sonde Moteur,,,,,,
1,Renault,Clio IV,1.5 DCI 66KW K9K,2013-2019,Capteur,Capteur et Sonde Moteur,,,,,,
1,Renault,Clio IV,1.5 DCI 66KW K9K,2013-2019,Capteur,Capteur et Sonde Moteur,,,,,,
1,Renault,Clio IV,1.5 DCI 66KW K9K,2013-2019,Capteur,Capteur et Sonde Moteur,,,,,,
1,Renault,Clio IV,1.5 DCI 66KW K9K,2013-2019,Capteur,Capteur et Sonde Moteur,,,,,,
1,Renault,Clio IV,1.5 DCI 66KW K9K,2013-2019,Capteur,Capteur et Sonde Moteur,,,,,,
1,Renault,Clio IV,1.5 DCI 66KW K9K,2013-2019,Capteur,Capteur et Sonde Moteur,,,,,,
1,Renault,Clio IV,1.5 DCI 66KW K9K,2013-2019,Capteur,Capteur et Sonde Échappement,,,,,,
1,Renault,Clio IV,1.5 DCI 66KW K9K,2013-2019,Capteur,Capteur et Sonde Échappement,,,,,,
1,Renault,Clio IV,1.5 DCI 66KW K9K,2013-2019,Capteur,Capteur et Sonde Échappement,,,,,,
1,Renault,Clio IV,1.5 DCI 66KW K9K,2013-2019,Capteur,Capteur et Sonde Échappement,,,,,,
1,Renault,Clio IV,1.5 DCI 66KW K9K,2013-2019,Capteur,Capteur et Sonde Échappement,,,,,,
1,Renault,Clio IV,1.5 DCI 66KW K9K,2013-2019,Capteur,Capteur et Sonde Échappement,,,,,,
1,Renault,Clio IV,1.5 DCI 66KW K9K,2013-2019,Capteur,Capteur et Sonde Échappement,,,,,,
1,Renault,Clio IV,1.5 DCI 66KW K9K,2013-2019,Capteur,Capteur et Sonde de Température,,,,,,
1,Renault,Clio IV,1.5 DCI 66KW K9K,2013-2019,Capteur,Capteur et Sonde de Température,,,,,,
1,Renault,Clio IV,1.5 DCI 66KW K9K,2013-2019,Capteur,Capteur et Sonde de Température,,,,,,
1,Renault,Clio IV,1.5 DCI 66KW K9K,2013-2019,Capteur,Capteur et Sonde de Température,,,,,,
1,Renault,Clio IV,1.5 DCI 66KW K9K,2013-2019,Capteur,Capteur et Sonde de Température,,,,,,
1,Renault,Clio IV,1.5 DCI 66KW K9K,2013-2019,Capteur,Capteur et Sonde de Température,,,,,,
1,Renault,Clio IV,1.5 DCI 66KW K9K,2013-2019,Capteur,Capteur Aide à la Conduite,,,,,,
1,Renault,Clio IV,1.5 DCI 66KW K9K,2013-2019,Capteur,Capteur Aide à la Conduite,,,,,,
1,Renault,Clio IV,1.5 DCI 66KW K9K,2013-2019,,,,,,,,
1,Renault,Clio IV,1.5 DCI 66KW K9K,2013-2019,,,,,,,,
1,Renault,Clio IV,1.5 DCI 66KW K9K,2013-2019,,,,,,,,
1,Renault,Clio IV,1.5 DCI 66KW K9K,2013-2019,,,,,,,,
1,Renault,Clio IV,1.5 DCI 66KW K9K,2013-2019,,,,,,,,
1,Renault,Clio IV,1.5 DCI 66KW K9K,2013-2019,,,,,,,,
1,Renault,Clio IV,1.5 DCI 66KW K9K,2013-2019,,,,,,,,
1,Renault,Clio IV,1.5 DCI 66KW K9K,2013-2019,,,,,,,,
1,Renault,Clio IV,1.5 DCI 66KW K9K,2013-2019,,,,,,,,
1,Renault,Clio IV,1.5 DCI 66KW K9K,2013-2019,,,,,,,,